date,period,return,sharpe,max_dd,win_rate,trades
2025-11-01,nov_2025,-3.59,-4.39,0.00,25.0,4
2025-10-01,oct_2025,0.55,0.26,4.42,52.9,17
2025-09-01,sep_2025,-1.71,-0.88,7.12,53.3,15
2025-08-01,aug_2025,1.22,0.65,3.21,58.3,12
2025-07-01,jul_2025,2.34,1.25,2.18,69.2,13
2025-06-01,jun_2025,-0.58,-0.21,5.67,42.9,7
2025-05-01,may_2025,1.89,0.87,3.45,55.6,11
2025-04-01,apr_2025,2.72,0.92,4.12,50.0,12
2025-03-01,mar_2025,-0.23,-0.15,2.34,48.0,9
2025-02-01,feb_2025,1.45,0.72,3.89,54.5,10
2025-01-01,jan_2025,0.37,1.73,0.21,100.0,1
